entity_id,entity_type,entity_role,department,primary_geo,secondary_geo,work_hours_start,work_hours_end,work_days,known_devices,typical_resources,typical_auth_method,avg_session_duration,avg_bytes_per_session,onboarding_date
USR-0053,user,employee,Operations,"Tokyo, JP",,9,18,"[0, 1, 2, 3, 4]",['fp-fc43e858'],"['/mail/compose', '/mail/inbox', '/mail/sent', '/docs/shared', '/portal/announcements', '/portal/dashboard', '/intranet/policies']",sso,3600,25000,2025-05-07
SVC-0162,service_account,service,Automated Services,"Singapore, SG",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-f6b81a92'],"['/infra/backup-config', '/infra/ad-config', '/infra/server-monitoring']",token,30,5000,2025-11-15
SVC-0180,service_account,service,Automated Services,"Frankfurt, DE",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-d82fe6ca'],"['/intranet/directory', '/infra/ad-config', '/infra/dns-config']",token,30,5000,2025-08-30
USR-0132,user,admin,IT Infrastructure,"Sydney, AU","Chennai, IN",0,23,"[0, 1, 2, 3, 4, 5, 6]","['fp-c29df27d', 'fp-1f33f5e5', 'fp-875983fd']","['/infra/k8s-cluster', '/infra/ad-config', '/infra/backup-config', '/infra/vpn-gateway', '/infra/docker-registry', '/infra/dns-config', '/admin/license-management', '/admin/user-management', '/admin/audit-trail', '/admin/security-policies']",certificate,1800,500000,2025-08-06
USR-0035,user,employee,Operations,"Pune, IN",,9,18,"[0, 1, 2, 3, 4]","['fp-ab716214', 'fp-19754981']","['/mail/calendar', '/mail/inbox', '/mail/compose', '/intranet/policies', '/docs/shared', '/docs/templates', '/portal/dashboard']",sso,3600,25000,2025-10-28
USR-0111,user,finance,Finance,"New York, US",,9,18,"[0, 1, 2, 3, 4]",['fp-84d69d97'],"['/finance/invoices', '/finance/tax-reports', '/finance/audit-logs', '/finance/erp-dashboard', '/api/finance/quarterly-report', '/mail/sent', '/mail/attachments']",password,3000,200000,2025-07-28
USR-0133,user,admin,IT Infrastructure,"Bangalore, IN","Kolkata, IN",0,23,"[0, 1, 2, 3, 4, 5, 6]","['fp-62efcde2', 'fp-2698bfff', 'fp-7039774a']","['/infra/dns-config', '/infra/certificate-manager', '/infra/server-monitoring', '/infra/ad-config', '/infra/vpn-gateway', '/infra/k8s-cluster', '/admin/license-management', '/admin/system-settings', '/admin/audit-trail', '/admin/access-control']",certificate,1800,500000,2025-11-30
USR-0140,user,admin,IT Infrastructure,"Dubai, AE","Pune, IN",0,23,"[0, 1, 2, 3, 4, 5, 6]","['fp-fdbab261', 'fp-f26a88f3', 'fp-f5ecf352', 'fp-e12e0237']","['/infra/ad-config', '/infra/load-balancer', '/infra/certificate-manager', '/infra/vpn-gateway', '/infra/docker-registry', '/infra/dns-config', '/admin/access-control', '/admin/audit-trail', '/admin/system-settings', '/admin/security-policies']",certificate,1800,500000,2025-06-02
SVC-0157,service_account,service,Automated Services,"Mumbai, IN",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-ec706873'],"['/infra/ad-config', '/infra/vpn-gateway', '/infra/dns-config']",token,30,5000,2025-06-30
USR-0024,user,employee,Operations,"San Francisco, US",,9,18,"[0, 1, 2, 3, 4]",['fp-350b7345'],"['/mail/inbox', '/mail/sent', '/mail/attachments', '/portal/dashboard', '/docs/shared', '/docs/templates', '/portal/announcements']",sso,3600,25000,2025-09-30
USR-0001,user,employee,Operations,"Hyderabad, IN",,9,18,"[0, 1, 2, 3, 4]",['fp-7513c2e5'],"['/mail/calendar', '/mail/inbox', '/mail/compose', '/portal/dashboard', '/docs/shared', '/intranet/directory', '/portal/announcements']",sso,3600,25000,2025-03-19
USR-0072,user,developer,Engineering,"Kolkata, IN","San Francisco, US",8,22,"[0, 1, 2, 3, 4, 5]","['fp-b433c91f', 'fp-ad2cbbfc']","['/staging/api-v3', '/git/repo-frontend', '/staging/api-v2', '/git/repo-backend', '/git/repo-infra', '/ci/pipeline-deploy', '/intranet/policies', '/docs/team-wiki']",token,5400,500000,2025-07-07
USR-0120,user,finance,Finance,"Delhi, IN",,9,18,"[0, 1, 2, 3, 4]",['fp-886310ee'],"['/finance/tax-reports', '/finance/budget-planning', '/finance/invoices', '/finance/erp-dashboard', '/finance/audit-logs', '/mail/calendar', '/mail/compose']",password,3000,200000,2025-02-11
USR-0093,user,developer,Engineering,"Chennai, IN","Bangalore, IN",8,22,"[0, 1, 2, 3, 4, 5]","['fp-ec8b2b8f', 'fp-bb5c783f']","['/staging/api-v2', '/git/repo-mobile', '/staging/api-v3', '/git/repo-ml-pipeline', '/git/repo-backend', '/ci/pipeline-deploy', '/docs/templates', '/portal/dashboard']",token,5400,500000,2025-11-02
DEV-0200,edge_device,device,IoT Operations,"Bangalore, IN",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-8a458fe9'],"['/infra/server-monitoring', '/infra/k8s-cluster']",certificate,15,2000,2025-11-14
USR-0101,user,hr,Human Resources,"Mumbai, IN",,9,17,"[0, 1, 2, 3, 4]",['fp-a6af9079'],"['/hr/onboarding', '/hr/performance-reviews', '/hr/leave-management', '/hr/employee-records', '/mail/sent', '/mail/inbox']",sso,2400,50000,2025-10-07
USR-0080,user,developer,Engineering,"Pune, IN","Frankfurt, DE",8,22,"[0, 1, 2, 3, 4, 5]","['fp-d31c06a9', 'fp-1be8c44f', 'fp-3b8e22d6']","['/staging/api-v3', '/ci/pipeline-test', '/staging/api-v2', '/ci/pipeline-deploy', '/git/repo-infra', '/git/repo-ml-pipeline', '/portal/announcements', '/intranet/policies']",token,5400,500000,2025-09-11
SVC-0151,service_account,service,Automated Services,"Frankfurt, DE",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-6c19295f'],"['/infra/certificate-manager', '/infra/docker-registry', '/intranet/directory']",token,30,5000,2025-03-25
USR-0075,user,developer,Engineering,"Singapore, SG","San Francisco, US",8,22,"[0, 1, 2, 3, 4, 5]","['fp-d9d12200', 'fp-6b954243', 'fp-db79785e']","['/ci/pipeline-test', '/staging/api-v3', '/ci/pipeline-build', '/ci/pipeline-deploy', '/staging/api-v2', '/git/repo-infra', '/docs/team-wiki', '/portal/dashboard']",token,5400,500000,2025-04-20
USR-0011,user,employee,Operations,"Ahmedabad, IN",,9,18,"[0, 1, 2, 3, 4]","['fp-afc6a6d2', 'fp-a13e70a5']","['/mail/attachments', '/mail/sent', '/mail/compose', '/docs/team-wiki', '/intranet/directory', '/portal/announcements', '/portal/dashboard']",sso,3600,25000,2025-04-04
USR-0138,user,admin,IT Infrastructure,"Chennai, IN","Kolkata, IN",0,23,"[0, 1, 2, 3, 4, 5, 6]","['fp-307714d0', 'fp-f2b7bfac', 'fp-b73ff5fe', 'fp-bd42b690']","['/infra/firewall-rules', '/infra/dns-config', '/infra/certificate-manager', '/infra/k8s-cluster', '/infra/load-balancer', '/infra/docker-registry', '/admin/license-management', '/admin/access-control', '/admin/security-policies', '/admin/audit-trail']",certificate,1800,500000,2025-09-12
USR-0095,user,developer,Engineering,"Hyderabad, IN","Mumbai, IN",8,22,"[0, 1, 2, 3, 4, 5]","['fp-109f303e', 'fp-766e2679']","['/ci/pipeline-test', '/staging/api-v3', '/git/repo-mobile', '/git/repo-ml-pipeline', '/git/repo-frontend', '/ci/pipeline-build', '/portal/dashboard', '/portal/announcements']",token,5400,500000,2025-08-01
USR-0145,user,admin,IT Infrastructure,"New York, US","Bangalore, IN",0,23,"[0, 1, 2, 3, 4, 5, 6]","['fp-99f6064c', 'fp-9c1eb472', 'fp-7a419a33', 'fp-81f95669']","['/infra/docker-registry', '/infra/firewall-rules', '/infra/ad-config', '/infra/backup-config', '/infra/load-balancer', '/infra/certificate-manager', '/admin/system-settings', '/admin/access-control', '/admin/license-management', '/admin/user-management']",certificate,1800,500000,2025-10-18
USR-0048,user,employee,Operations,"Sydney, AU",,9,18,"[0, 1, 2, 3, 4]","['fp-2d07e976', 'fp-1dee6746']","['/mail/compose', '/mail/attachments', '/mail/calendar', '/docs/shared', '/portal/dashboard', '/intranet/policies', '/docs/templates']",sso,3600,25000,2025-10-04
DEV-0196,edge_device,device,IoT Operations,"Bangalore, IN",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-a9ce101d'],"['/infra/load-balancer', '/infra/firewall-rules']",certificate,15,2000,2025-06-29
DEV-0197,edge_device,device,IoT Operations,"Frankfurt, DE",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-3d762ad0'],"['/infra/server-monitoring', '/infra/vpn-gateway']",certificate,15,2000,2025-03-11
USR-0042,user,employee,Operations,"Singapore, SG",,9,18,"[0, 1, 2, 3, 4]",['fp-5e8dc864'],"['/mail/attachments', '/mail/calendar', '/mail/inbox', '/portal/announcements', '/intranet/directory', '/docs/shared', '/docs/team-wiki']",sso,3600,25000,2025-02-17
USR-0055,user,employee,Operations,"New York, US",,9,18,"[0, 1, 2, 3, 4]",['fp-3687a173'],"['/mail/compose', '/mail/inbox', '/mail/attachments', '/docs/templates', '/docs/shared', '/intranet/policies', '/portal/announcements']",sso,3600,25000,2025-09-19
USR-0013,user,employee,Operations,"Hyderabad, IN",,9,18,"[0, 1, 2, 3, 4]",['fp-840f5c37'],"['/mail/compose', '/mail/attachments', '/mail/inbox', '/intranet/policies', '/docs/shared', '/portal/dashboard', '/intranet/directory']",sso,3600,25000,2025-03-01
USR-0032,user,employee,Operations,"Tokyo, JP",,9,18,"[0, 1, 2, 3, 4]",['fp-4b742e86'],"['/mail/inbox', '/mail/calendar', '/mail/compose', '/portal/dashboard', '/docs/team-wiki', '/intranet/policies', '/intranet/directory']",sso,3600,25000,2025-05-22
USR-0051,user,employee,Operations,"San Francisco, US",,9,18,"[0, 1, 2, 3, 4]","['fp-ea493429', 'fp-b97db645']","['/mail/calendar', '/mail/compose', '/mail/inbox', '/docs/templates', '/intranet/directory', '/intranet/policies', '/portal/dashboard']",sso,3600,25000,2025-04-18
USR-0070,user,developer,Engineering,"Mumbai, IN","Singapore, SG",8,22,"[0, 1, 2, 3, 4, 5]","['fp-7378234f', 'fp-8c6074f9']","['/ci/pipeline-deploy', '/git/repo-backend', '/git/repo-infra', '/ci/pipeline-build', '/staging/api-v3', '/git/repo-frontend', '/docs/shared', '/intranet/directory']",token,5400,500000,2025-05-24
SVC-0179,service_account,service,Automated Services,"Mumbai, IN",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-57c75d2f'],"['/intranet/directory', '/infra/k8s-cluster', '/infra/dns-config']",token,30,5000,2025-09-06
USR-0008,user,employee,Operations,"Hyderabad, IN",,9,18,"[0, 1, 2, 3, 4]","['fp-78e7882f', 'fp-bdd55258']","['/mail/calendar', '/mail/sent', '/mail/inbox', '/docs/templates', '/docs/team-wiki', '/portal/announcements', '/docs/shared']",sso,3600,25000,2025-03-27
USR-0141,user,admin,IT Infrastructure,"Mumbai, IN","London, GB",0,23,"[0, 1, 2, 3, 4, 5, 6]","['fp-64521140', 'fp-45a99298', 'fp-36425ffb', 'fp-7ee7f305']","['/infra/dns-config', '/infra/certificate-manager', '/infra/server-monitoring', '/infra/k8s-cluster', '/infra/docker-registry', '/infra/load-balancer', '/admin/security-policies', '/admin/user-management', '/admin/system-settings', '/admin/audit-trail']",certificate,1800,500000,2025-04-29
USR-0084,user,developer,Engineering,"Mumbai, IN","Dubai, AE",8,22,"[0, 1, 2, 3, 4, 5]","['fp-65a9f33b', 'fp-8f51b0b2']","['/git/repo-backend', '/staging/api-v2', '/ci/pipeline-build', '/git/repo-frontend', '/git/repo-mobile', '/ci/pipeline-test', '/portal/announcements', '/intranet/policies']",token,5400,500000,2025-05-17
USR-0114,user,finance,Finance,"Sydney, AU",,9,18,"[0, 1, 2, 3, 4]",['fp-2cfe4ce2'],"['/api/finance/quarterly-report', '/api/payroll/export', '/finance/budget-planning', '/finance/invoices', '/finance/audit-logs', '/mail/calendar', '/mail/inbox']",password,3000,200000,2025-03-07
USR-0060,user,employee,Operations,"Chennai, IN",,9,18,"[0, 1, 2, 3, 4]","['fp-5eb37ab4', 'fp-7fdb6582']","['/mail/compose', '/mail/calendar', '/mail/inbox', '/portal/dashboard', '/docs/shared', '/docs/team-wiki', '/portal/announcements']",sso,3600,25000,2025-05-13
USR-0062,user,developer,Engineering,"San Francisco, US","Delhi, IN",8,22,"[0, 1, 2, 3, 4, 5]","['fp-0134b7a6', 'fp-f8d432f9']","['/staging/api-v2', '/ci/pipeline-deploy', '/git/repo-infra', '/git/repo-ml-pipeline', '/ci/pipeline-build', '/git/repo-frontend', '/intranet/policies', '/portal/dashboard']",token,5400,500000,2025-07-12
USR-0115,user,finance,Finance,"Dubai, AE",,9,18,"[0, 1, 2, 3, 4]",['fp-bb6747d7'],"['/finance/tax-reports', '/finance/budget-planning', '/api/payroll/export', '/finance/invoices', '/finance/audit-logs', '/mail/compose', '/mail/attachments']",password,3000,200000,2025-08-19
USR-0124,user,finance,Finance,"Bangalore, IN",,9,18,"[0, 1, 2, 3, 4]",['fp-98e614f3'],"['/finance/erp-dashboard', '/api/payroll/export', '/api/finance/quarterly-report', '/finance/invoices', '/finance/budget-planning', '/mail/attachments', '/mail/sent']",password,3000,200000,2025-06-15
USR-0143,user,admin,IT Infrastructure,"London, GB","Frankfurt, DE",0,23,"[0, 1, 2, 3, 4, 5, 6]","['fp-64c7a646', 'fp-cb762494', 'fp-ea3197fe']","['/infra/server-monitoring', '/infra/k8s-cluster', '/infra/ad-config', '/infra/vpn-gateway', '/infra/firewall-rules', '/infra/backup-config', '/admin/system-settings', '/admin/security-policies', '/admin/audit-trail', '/admin/license-management']",certificate,1800,500000,2026-03-14
USR-0117,user,finance,Finance,"Bangalore, IN",,9,18,"[0, 1, 2, 3, 4]","['fp-170daaf1', 'fp-41fbfc3b']","['/api/finance/quarterly-report', '/api/payroll/export', '/finance/tax-reports', '/finance/audit-logs', '/finance/erp-dashboard', '/mail/calendar', '/mail/sent']",password,3000,200000,2025-06-07
USR-0102,user,hr,Human Resources,"Kolkata, IN",,9,17,"[0, 1, 2, 3, 4]",['fp-82c6ac21'],"['/hr/leave-management', '/hr/onboarding', '/hr/recruitment-portal', '/hr/payroll-view', '/mail/calendar', '/mail/attachments']",sso,2400,50000,2025-11-01
USR-0144,user,admin,IT Infrastructure,"Frankfurt, DE","Ahmedabad, IN",0,23,"[0, 1, 2, 3, 4, 5, 6]","['fp-add83590', 'fp-54c4f54b', 'fp-dbdf2a9d', 'fp-145c2361']","['/infra/dns-config', '/infra/docker-registry', '/infra/firewall-rules', '/infra/ad-config', '/infra/certificate-manager', '/infra/vpn-gateway', '/admin/system-settings', '/admin/user-management', '/admin/license-management', '/admin/security-policies']",certificate,1800,500000,2025-09-26
DEV-0193,edge_device,device,IoT Operations,"Mumbai, IN",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-a7d13369'],"['/infra/ad-config', '/infra/k8s-cluster']",certificate,15,2000,2025-11-17
USR-0074,user,developer,Engineering,"San Francisco, US","Chennai, IN",8,22,"[0, 1, 2, 3, 4, 5]","['fp-e51d1bb5', 'fp-97a801bd']","['/git/repo-ml-pipeline', '/ci/pipeline-deploy', '/staging/api-v2', '/git/repo-mobile', '/git/repo-frontend', '/staging/api-v3', '/intranet/policies', '/docs/templates']",token,5400,500000,2025-08-11
USR-0043,user,employee,Operations,"New York, US",,9,18,"[0, 1, 2, 3, 4]",['fp-5dac0e53'],"['/mail/attachments', '/mail/calendar', '/mail/sent', '/docs/templates', '/portal/announcements', '/portal/dashboard', '/intranet/policies']",sso,3600,25000,2025-11-02
USR-0087,user,developer,Engineering,"San Francisco, US","Delhi, IN",8,22,"[0, 1, 2, 3, 4, 5]","['fp-19595b40', 'fp-15dddaf7']","['/ci/pipeline-deploy', '/git/repo-infra', '/ci/pipeline-test', '/staging/api-v2', '/git/repo-ml-pipeline', '/git/repo-frontend', '/intranet/directory', '/docs/templates']",token,5400,500000,2025-04-24
USR-0066,user,developer,Engineering,"Delhi, IN","Tokyo, JP",8,22,"[0, 1, 2, 3, 4, 5]","['fp-f42b8dfa', 'fp-333ee19f']","['/ci/pipeline-test', '/git/repo-backend', '/staging/api-v2', '/git/repo-infra', '/git/repo-mobile', '/staging/api-v3', '/docs/shared', '/docs/team-wiki']",token,5400,500000,2025-01-12
SVC-0176,service_account,service,Automated Services,"Frankfurt, DE",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-4a966090'],"['/infra/backup-config', '/infra/load-balancer', '/infra/ad-config']",token,30,5000,2025-02-01
USR-0027,user,employee,Operations,"Singapore, SG",,9,18,"[0, 1, 2, 3, 4]","['fp-f88596c2', 'fp-4a6f394c']","['/mail/attachments', '/mail/sent', '/mail/compose', '/intranet/directory', '/portal/dashboard', '/intranet/policies', '/portal/announcements']",sso,3600,25000,2025-01-01
USR-0020,user,employee,Operations,"Bangalore, IN",,9,18,"[0, 1, 2, 3, 4]",['fp-5de59b26'],"['/mail/compose', '/mail/sent', '/mail/calendar', '/portal/dashboard', '/portal/announcements', '/intranet/policies', '/docs/shared']",sso,3600,25000,2025-09-17
USR-0061,user,developer,Engineering,"Dubai, AE","Delhi, IN",8,22,"[0, 1, 2, 3, 4, 5]","['fp-19d7be53', 'fp-ff43aef8']","['/ci/pipeline-test', '/git/repo-frontend', '/ci/pipeline-build', '/git/repo-mobile', '/git/repo-backend', '/staging/api-v2', '/intranet/directory', '/portal/dashboard']",token,5400,500000,2025-07-01
SVC-0155,service_account,service,Automated Services,"San Francisco, US",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-56673771'],"['/docs/shared', '/docs/templates', '/docs/team-wiki']",token,30,5000,2025-04-15
DEV-0192,edge_device,device,IoT Operations,"Mumbai, IN",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-6856f29c'],"['/infra/vpn-gateway', '/infra/certificate-manager']",certificate,15,2000,2025-04-13
USR-0082,user,developer,Engineering,"San Francisco, US","Mumbai, IN",8,22,"[0, 1, 2, 3, 4, 5]","['fp-b37636ab', 'fp-7a3f1b5b']","['/ci/pipeline-build', '/git/repo-infra', '/staging/api-v2', '/git/repo-frontend', '/ci/pipeline-test', '/git/repo-ml-pipeline', '/intranet/directory', '/docs/team-wiki']",token,5400,500000,2025-04-06
DEV-0198,edge_device,device,IoT Operations,"Frankfurt, DE",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-7b9e5df1'],"['/infra/server-monitoring', '/infra/dns-config']",certificate,15,2000,2025-07-14
DEV-0182,edge_device,device,IoT Operations,"Frankfurt, DE",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-c9e0c801'],"['/infra/ad-config', '/infra/k8s-cluster']",certificate,15,2000,2025-11-01
SVC-0154,service_account,service,Automated Services,"Mumbai, IN",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-bb651993'],"['/infra/vpn-gateway', '/infra/server-monitoring', '/docs/shared']",token,30,5000,2025-02-02
USR-0078,user,developer,Engineering,"Singapore, SG","Delhi, IN",8,22,"[0, 1, 2, 3, 4, 5]","['fp-b52a9dba', 'fp-0e890b52']","['/ci/pipeline-deploy', '/git/repo-infra', '/git/repo-backend', '/staging/api-v2', '/git/repo-mobile', '/git/repo-ml-pipeline', '/intranet/directory', '/docs/templates']",token,5400,500000,2025-03-08
SVC-0164,service_account,service,Automated Services,"Singapore, SG",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-47d7a329'],"['/intranet/directory', '/docs/team-wiki', '/portal/announcements']",token,30,5000,2025-06-21
SVC-0178,service_account,service,Automated Services,"San Francisco, US",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-9b2a2ee1'],"['/infra/dns-config', '/docs/templates', '/infra/certificate-manager']",token,30,5000,2025-09-15
DEV-0194,edge_device,device,IoT Operations,"Mumbai, IN",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-13b51a91'],"['/infra/certificate-manager', '/infra/ad-config']",certificate,15,2000,2025-07-23
USR-0107,user,hr,Human Resources,"Hyderabad, IN",,9,17,"[0, 1, 2, 3, 4]",['fp-25f132e2'],"['/hr/employee-records', '/hr/performance-reviews', '/hr/onboarding', '/hr/leave-management', '/mail/attachments', '/mail/calendar']",sso,2400,50000,2025-07-08
USR-0007,user,employee,Operations,"Sydney, AU",,9,18,"[0, 1, 2, 3, 4]",['fp-3cb54344'],"['/mail/attachments', '/mail/inbox', '/mail/sent', '/portal/dashboard', '/portal/announcements', '/intranet/policies', '/docs/templates']",sso,3600,25000,2025-11-27
USR-0069,user,developer,Engineering,"Delhi, IN","Pune, IN",8,22,"[0, 1, 2, 3, 4, 5]","['fp-927dfa02', 'fp-d7e41497']","['/staging/api-v2', '/ci/pipeline-build', '/git/repo-backend', '/ci/pipeline-deploy', '/git/repo-infra', '/git/repo-mobile', '/docs/team-wiki', '/portal/dashboard']",token,5400,500000,2025-01-18
USR-0033,user,employee,Operations,"Singapore, SG",,9,18,"[0, 1, 2, 3, 4]","['fp-ac9e9b23', 'fp-1abca3c4']","['/mail/calendar', '/mail/inbox', '/mail/sent', '/docs/team-wiki', '/intranet/directory', '/docs/shared', '/portal/announcements']",sso,3600,25000,2025-07-29
USR-0131,user,admin,IT Infrastructure,"Kolkata, IN","Singapore, SG",0,23,"[0, 1, 2, 3, 4, 5, 6]","['fp-63a3eaa1', 'fp-d3f40382', 'fp-99087005', 'fp-b4f95264']","['/infra/dns-config', '/infra/docker-registry', '/infra/k8s-cluster', '/infra/backup-config', '/infra/load-balancer', '/infra/server-monitoring', '/admin/user-management', '/admin/security-policies', '/admin/license-management', '/admin/system-settings']",certificate,1800,500000,2025-02-15
USR-0130,user,finance,Finance,"San Francisco, US",,9,18,"[0, 1, 2, 3, 4]",['fp-a78c217b'],"['/finance/erp-dashboard', '/finance/budget-planning', '/finance/audit-logs', '/finance/tax-reports', '/finance/invoices', '/mail/inbox', '/mail/calendar']",password,3000,200000,2026-03-21
SVC-0160,service_account,service,Automated Services,"Mumbai, IN",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-aa25bf8d'],"['/infra/ad-config', '/infra/load-balancer', '/infra/firewall-rules']",token,30,5000,2025-01-06
USR-0016,user,employee,Operations,"Pune, IN",,9,18,"[0, 1, 2, 3, 4]",['fp-f6ecc83d'],"['/mail/calendar', '/mail/sent', '/mail/compose', '/portal/announcements', '/docs/shared', '/intranet/policies', '/intranet/directory']",sso,3600,25000,2025-02-07
USR-0134,user,admin,IT Infrastructure,"New York, US","Ahmedabad, IN",0,23,"[0, 1, 2, 3, 4, 5, 6]","['fp-6b681e0b', 'fp-eda405ac', 'fp-39d1e097']","['/infra/firewall-rules', '/infra/server-monitoring', '/infra/k8s-cluster', '/infra/vpn-gateway', '/infra/certificate-manager', '/infra/ad-config', '/admin/access-control', '/admin/security-policies', '/admin/license-management', '/admin/audit-trail']",certificate,1800,500000,2025-09-22
DEV-0187,edge_device,device,IoT Operations,"Mumbai, IN",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-299b19b9'],"['/infra/server-monitoring', '/infra/k8s-cluster']",certificate,15,2000,2025-01-25
DEV-0183,edge_device,device,IoT Operations,"Bangalore, IN",,0,23,"[0, 1, 2, 3, 4, 5, 6]",['fp-b9d8d994'],"['/infra/dns-config', '/infra/k8s-cluster']",certificate,15,2000,2025-02-13
USR-0109,user,hr,Human Resources,"Sydney, AU",,9,17,"[0, 1, 2, 3, 4]",['fp-60c9bcf0'],"['/hr/performance-reviews', '/hr/recruitment-portal', '/hr/employee-records', '/hr/onboarding', '/mail/compose', '/mail/attachments']",sso,2400,50000,2025-02-27
